Chat_id,User_id1,User_id2,Message_ID,Date_début,Date_fin
467,716723I,503507F,42051,25/11/2024 03:27:21,25/11/2024 03:30:50
957,440231G,125721F,55455,16/03/2024 22:10:28,16/03/2024 22:19:32
380,411136F,541257E,25550,15/12/2024 15:39:46,15/12/2024 15:46:58
75,577013F,322413I,41240,13/01/2024 00:51:40,13/01/2024 01:00:14
191,642036G,167233F,20254,06/05/2024 13:59:04,06/05/2024 14:06:01
865,164255F,430565E,50103,06/08/2024 17:08:49,06/08/2024 17:19:27
162,447341G,771576F,1354,15/11/2024 15:00:23,15/11/2024 15:10:00
453,667324G,311260F,44142,10/02/2024 06:05:06,10/02/2024 06:10:39
537,562416I,130516F,13534,16/09/2024 21:59:09,16/09/2024 22:00:49
787,346472G,163451F,11110,29/02/2024 21:01:16,29/02/2024 21:08:21
411,742715I,531113F,22003,08/04/2024 01:58:33,08/04/2024 02:05:09
131,717421E,545672F,55043,04/04/2024 08:40:51,04/04/2024 08:44:14
606,257502E,116657F,54312,28/01/2024 07:20:56,28/01/2024 07:31:06
226,031250I,764317F,33201,09/10/2024 18:18:59,09/10/2024 18:22:15
998,510735G,417270F,53410,07/08/2024 14:20:28,07/08/2024 14:21:38
596,723502F,365350E,21453,03/08/2024 06:03:49,03/08/2024 06:08:08
141,632477G,125721F,51344,19/06/2024 07:07:46,19/06/2024 07:09:29
978,354052E,432135F,32511,25/08/2024 16:49:17,25/08/2024 16:51:45
977,031520G,755313F,31555,06/07/2024 09:13:46,06/07/2024 09:22:25
497,474533E,663115F,20035,30/04/2024 14:32:23,30/04/2024 14:34:00
759,756006F,246564G,40055,09/01/2024 21:40:11,09/01/2024 21:43:12
356,105473E,164255F,40231,01/04/2024 08:07:53,01/04/2024 08:16:12
929,672100F,123241E,22035,25/12/2024 15:42:21,25/12/2024 15:45:14
523,710032F,107220E,12232,19/07/2024 02:54:32,19/07/2024 03:03:01
375,305144E,077005F,44421,06/05/2024 14:54:22,06/05/2024 15:03:44
585,636462G,277617F,15205,23/06/2024 15:50:22,23/06/2024 16:00:54
